sessionID,session_title,conference_title,date,year,ordinal,participantID,fname,mname,lname,full
1,Regional Authors Reading,Humanimal,3/27/2012,2012,43rd,143,Kevin,,Zepper,Kevin Zepper
1,Regional Authors Reading,Humanimal,3/27/2012,2012,43rd,193,Nancy,,Devine,Nancy Devine
2,Reading: Aaron Poochigian,Humanimal,3/27/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
4,Reading: Hal Herzog,Humanimal,3/28/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
5,Reading: Pam Houston,Humanimal,3/28/2012,2012,43rd,202,Pam,,Houston,Pam Houston
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,202,Pam,,Houston,Pam Houston
7,Reading: Brenda Miller,Humanimal,3/29/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
8,Reading: Lee Ann Roripaugh,Humanimal,3/29/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
9,Reading: Mark Doty,Humanimal,3/30/2012,2012,43rd,171,Mark,,Doty,Mark Doty
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,106,Jane,,Smiley,Jane Smiley
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,171,Mark,,Doty,Mark Doty
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,202,Pam,,Houston,Pam Houston
11,A Great Conversation with Jane Smiley,Humanimal,3/30/2012,2012,43rd,106,Jane,,Smiley,Jane Smiley
12,Reading: Loida Maritza Pérez,(Inter)National Affairs,3/30/2011,2011,42nd,155,Loida,Maritza,Pèrez,Loida Maritza Pèrez
13,Reading: Susan Deer Cloud,(Inter)National Affairs,4/1/2011,2011,42nd,255,Susan,,Deer Cloud,Susan Deer Cloud
13,Reading: Susan Deer Cloud,(Inter)National Affairs,4/1/2011,2011,42nd,310,Denise,,Lajimodiere,Denise Lajimodiere
14,A Great Conversation with Jamaica Kincaid,(Inter)National Affairs,4/1/2011,2011,42nd,98,Jamaica,,Kincaid,Jamaica Kincaid
15,Reading: Maxine Hong Kingston,(Inter)National Affairs,3/31/2011,2011,42nd,179,Maxine,Hong,Kingston,Maxine Hong Kingston
16,Reading: Sean Mclain Brown and Jim Castellanos,(Inter)National Affairs,3/31/2011,2011,42nd,112,Jim,,Castellanos,Jim Castellanos
16,Reading: Sean Mclain Brown and Jim Castellanos,(Inter)National Affairs,3/31/2011,2011,42nd,246,Sean,Mclain,Brown,Sean Mclain Brown
17,Reading: Carl Phillips,(Inter)National Affairs,3/29/2011,2011,42nd,37,Carl,,Phillips,Carl Phillips
18,Presentation: Matthew Sienkiewicz,(Inter)National Affairs,3/30/2011,2011,42nd,177,Matthew,,Sienkiewicz,Matthew Sienkiewicz
19,Reading: Amoussa Koriko ,(Inter)National Affairs,3/29/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,37,Carl,,Phillips,Carl Phillips
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,237,Russell,Scott,Valentino,Russell Scott Valentino
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,179,Maxine,Hong,Kingston,Maxine Hong Kingston
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,255,Susan,,Deer Cloud,Susan Deer Cloud
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,112,Jim,,Castellanos,Jim Castellanos
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,155,Loida,Maritza,Pèrez,Loida Maritza Pèrez
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,177,Matthew,,Sienkiewicz,Matthew Sienkiewicz
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,246,Sean,Mclain,Brown,Sean Mclain Brown
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,23,Art,,Spiegelman,Art Spiegelman
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
24,Presentation: Deena Larsen,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
25,A Conversation with Art Spiegelman,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,23,Art,,Spiegelman,Art Spiegelman
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,78,Frank,X.,Walker,Frank X. Walker
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,196,Nick,,Montfort,Nick Montfort
27,Reading: Mark Amerika,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
28,Presentation: Cecelia Condit,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
